Site,Name,Latitude,Longitude,Altitude (m),Transmitter,Height (m),Azimuth (°),Priority,
CN008,Cignal Slieve Glah,53.95323,-7.29532,294,CN008 Cignal Slieve Glah 1 ,29,0,Priority,
CN008,Cignal Slieve Glah,53.95323,-7.29532,294,CN008 Cignal Slieve Glah 2 ,29,120,Priority,
CN008,Cignal Slieve Glah,53.95323,-7.29532,294,CN008 Cignal Slieve Glah 3 ,29,240,Priority,
CN009,Cignal Mount Pallas,53.801272,-7.237284,72,CN009 Cignal Mount Pallas_1  ,21.5,135,Priority,
CN009,Cignal Mount Pallas,53.801272,-7.237284,72,CN009 Cignal Mount Pallas_2  ,21.5,335,Priority,
CN013,Cignal Slieve Rusheen,54.12894,-7.60536,195,CN013 Cignal Slieve Rusheen_1  ,30,110,Priority,
CN013,Cignal Slieve Rusheen,54.12894,-7.60536,195,CN013 Cignal Slieve Rusheen_2  ,30,255,Priority,
CN023,Cignal Drumerdanna,54.030106,-7.499148,65,CN023 Cignal Drumerdanna_1   ,26.5,50,Priority,
CN023,Cignal Drumerdanna,54.030106,-7.499148,65,CN023 Cignal Drumerdanna_2   ,26.5,220,Priority,
CN024,ESB Gallows Hill,53.987507,-7.35767,99,CN024 ESB Gallows Hill_1  ,16,165,Priority,
CN024,ESB Gallows Hill,53.987507,-7.35767,99,CN024 ESB Gallows Hill_2  ,16,345,Priority,
CW003,Cignal Delmec Carlow,52.842394,-6.935777,46,CW003 Cignal Delmec Carlow_1  ,24,100,Priority,
CW003,Cignal Delmec Carlow,52.842394,-6.935777,46,CW003 Cignal Delmec Carlow_2  ,24,270,Priority,
CW005,Vodafone Tullow Hill,52.803476,-6.717275,123,CW005 Vodafone Tullow Hill_1_L  ,27,95,Priority,
CW005,Vodafone Tullow Hill,52.803476,-6.717275,123,CW005 Vodafone Tullow Hill_1_R  ,27,95,Priority,
CW005,Vodafone Tullow Hill,52.803476,-6.717275,123,CW005 Vodafone Tullow Hill_2_L  ,27,216,Priority,
CW005,Vodafone Tullow Hill,52.803476,-6.717275,123,CW005 Vodafone Tullow Hill_2_R  ,27,216,Priority,
CW005,Vodafone Tullow Hill,52.803476,-6.717275,123,CW005 Vodafone Tullow Hill_3_L  ,27,335,Priority,
CW005,Vodafone Tullow Hill,52.803476,-6.717275,123,CW005 Vodafone Tullow Hill_3_R  ,27,335,Priority,
CW006,ESB Bagnelstown,52.698506,-6.934056,91,CW006 ESB Bagnelstown_1   ,23.5,350,Priority,
DL003,Towercom Letterkenny,54.951,-7.735483,28,DL003 Towercom Letterkenny_3_L   ,25,240,#N/A,nothing assigned
DL003,Towercom Letterkenny,54.951,-7.735483,28,DL003 Towercom Letterkenny_3_R   ,25,240,#N/A,
DL039,Cignal Conagrud,55.088733,-7.649317,215,DL039 Cignal Conagrud_1_L   ,14,40,#N/A,
DL039,Cignal Conagrud,55.088733,-7.649317,215,DL039 Cignal Conagrud_1_R   ,14,40,#N/A,
DL039,Cignal Conagrud,55.088733,-7.649317,215,DL039 Cignal Conagrud_2_L   ,14,150,#N/A,
DL039,Cignal Conagrud,55.088733,-7.649317,215,DL039 Cignal Conagrud_2_R   ,14,150,#N/A,
CW006,ESB Bagnelstown,52.698506,-6.934056,91,CW006 ESB Bagnelstown_2   ,23.5,90,Priority,
CW006,ESB Bagnelstown,52.698506,-6.934056,91,CW006 ESB Bagnelstown_3   ,23.5,270,Priority,
DL002,RTE Mongorry Hill,54.89124688,-7.634911925,231,DL002 RTE Mongorry Hill_1  ,60,0,Priority,
DL002,RTE Mongorry Hill,54.89124688,-7.634911925,231,DL002 RTE Mongorry Hill_2  ,60,180,Priority,
DL002,RTE Mongorry Hill,54.89124688,-7.634911925,231,DL002 RTE Mongorry Hill_3  ,60,270,Priority,
DL052,ESB Cathleen Falls 110kV,54.497879,-8.175601,29,DL052 ESB Cathleen Falls 110kV_1 ,20,120,Priority,
DL052,ESB Cathleen Falls 110kV,54.497879,-8.175601,29,DL052 ESB Cathleen Falls 110kV_2 ,20,295,Priority,
DL053,ESB Bundoran,54.472826,-8.266209,25,DL053 ESB Bundoran_1   ,20,60,Priority,
DL053,ESB Bundoran,54.472826,-8.266209,25,DL053 ESB Bundoran_2   ,20,60,Priority,
DL053,ESB Bundoran,54.472826,-8.266209,25,DL053 ESB Bundoran_3   ,20,250,Priority,
DL053,ESB Bundoran,54.472826,-8.266209,25,DL053 ESB Bundoran_4   ,20,250,Priority,
DN134,Virgin Media The Naull,53.575732,-6.262086,149,DN134 Virgin Media The Naull 1,48,350,Priority,
DN134,Virgin Media The Naull,53.575732,-6.262086,149,DN134 Virgin Media The Naull 2,48,105,Priority,
DN134,Virgin Media The Naull,53.575732,-6.262086,149,DN134 Virgin Media The Naull 3,45,250,Priority,
GY011,Towercom Tuam,53.51554569,-8.853813814,35,GY011 Towercom Tuam_1   ,45,30,Priority,
GY011,Towercom Tuam,53.51554569,-8.853813814,35,GY011 Towercom Tuam_2   ,42.5,140,Priority,
GY011,Towercom Tuam,53.51554569,-8.853813814,35,GY011 Towercom Tuam_3   ,43,260,Priority,
GY012,Towercom Cappataggle,53.27731,-8.411025,135,GY012 Towercom Cappataggle_1   ,36.7,70,Priority,
GY012,Towercom Cappataggle,53.27731,-8.411025,135,GY012 Towercom Cappataggle_2   ,36.7,220,Priority,
GY012,Towercom Cappataggle,53.27731,-8.411025,135,GY012 Towercom Cappataggle_3   ,32.66,330,Priority,
GY014,ESB Abbeyknockmoy,53.420244,-8.742277,158,GY014 ESB Abbeyknockmoy_1   ,34.5,20,Priority,
DL039,Cignal Conagrud,55.088733,-7.649317,215,DL039 Cignal Conagrud_3_L   ,14,240,#N/A,
DL039,Cignal Conagrud,55.088733,-7.649317,215,DL039 Cignal Conagrud_3_R   ,14,240,#N/A,
GY009,Towercom Athenry,53.29826,-8.74724,38,GY009 Towercom Athenry_1_L   ,10,0,#N/A,
GY009,Towercom Athenry,53.29826,-8.74724,38,GY009 Towercom Athenry_1_R   ,10,0,#N/A,
GY009,Towercom Athenry,53.29826,-8.74724,38,GY009 Towercom Athenry_2_L   ,10,120,#N/A,
GY009,Towercom Athenry,53.29826,-8.74724,38,GY009 Towercom Athenry_2_R   ,10,120,#N/A,
GY014,ESB Abbeyknockmoy,53.420244,-8.742277,158,GY014 ESB Abbeyknockmoy_2   ,34.5,120,Priority,
GY014,ESB Abbeyknockmoy,53.420244,-8.742277,158,GY014 ESB Abbeyknockmoy_3   ,34.5,295,Priority,
GY016,Virgin Tonabrocky,53.29146291,-9.111529648,100,GY016 Virgin Tonabrocky_1   ,37,120,Priority,
GY016,Virgin Tonabrocky,53.29146291,-9.111529648,100,GY016 Virgin Tonabrocky_2   ,37,220,Priority,
GY016,Virgin Tonabrocky,53.29146291,-9.111529648,100,GY016 Virgin Tonabrocky_3   ,37,335,Priority,
GY017,ESB Casla 220kV,53.30961,-8.85374,30,GY017 ESB Casla 220kV_1  ,28,120,Priority,
GY017,ESB Casla 220kV,53.30961,-8.85374,30,GY017 ESB Casla 220kV_2  ,28,240,Priority,
GY017,ESB Casla 220kV,53.30961,-8.85374,30,GY017 ESB Casla 220kV_3  ,28,340,Priority,
GY027,Towercom Inishmore,53.12153,-9.6679,10,GY027 Towercom Inishmore_1   ,25.65,135,Priority,
GY027,Towercom Inishmore,53.12153,-9.6679,10,GY027 Towercom Inishmore_2   ,25.65,345,Priority,
GY009,Towercom Athenry,53.29826,-8.74724,38,GY009 Towercom Athenry_3_L   ,10,240,#N/A,
GY009,Towercom Athenry,53.29826,-8.74724,38,GY009 Towercom Athenry_3_R   ,10,240,#N/A,
GY042,ESB Loughrea,53.2023,-8.55421,97,GY042 ESB Loughrea_1_L   ,18.5,0,#N/A,
GY042,ESB Loughrea,53.2023,-8.55421,97,GY042 ESB Loughrea_1_R   ,18.5,0,#N/A,
GY029,Vodafone Redmount Hill,53.223135,-8.145828,122,GY029 Vodafone Redmount Hill_1_L  ,27,0,Priority,
GY029,Vodafone Redmount Hill,53.223135,-8.145828,122,GY029 Vodafone Redmount Hill_1_R  ,27,0,Priority,
GY029,Vodafone Redmount Hill,53.223135,-8.145828,122,GY029 Vodafone Redmount Hill_2_L  ,27,120,Priority,
GY029,Vodafone Redmount Hill,53.223135,-8.145828,122,GY029 Vodafone Redmount Hill_2_R  ,27,120,Priority,
GY029,Vodafone Redmount Hill,53.223135,-8.145828,122,GY029 Vodafone Redmount Hill_3_L  ,27,240,Priority,
GY029,Vodafone Redmount Hill,53.223135,-8.145828,122,GY029 Vodafone Redmount Hill_3_R  ,27,240,Priority,
GY037,Cignal Kilcreest,53.15054609,-8.671710095,211,GY037 Cignal Kilcreest_1   ,39,60,Priority,
GY037,Cignal Kilcreest,53.15054609,-8.671710095,211,GY037 Cignal Kilcreest_2   ,36.5,240,Priority,
GY037,Cignal Kilcreest,53.15054609,-8.671710095,211,GY037 Cignal Kilcreest_3   ,36.5,320,Priority,
GY041,Meteor Mount Mary (Slievemurray),53.57113261,-8.383519102,150,GY041 Meteor Mount Mary (Slievemurray)_1 ,24,50,Priority,
GY041,Meteor Mount Mary (Slievemurray),53.57113261,-8.383519102,150,GY041 Meteor Mount Mary (Slievemurray)_1.5 ,24,80,Priority,
GY041,Meteor Mount Mary (Slievemurray),53.57113261,-8.383519102,150,GY041 Meteor Mount Mary (Slievemurray)_2 ,24,160,Priority,
GY042,ESB Loughrea,53.2023,-8.55421,97,GY042 ESB Loughrea_2_L   ,18.5,120,#N/A,
GY042,ESB Loughrea,53.2023,-8.55421,97,GY042 ESB Loughrea_2_R   ,18.5,120,#N/A,
GY042,ESB Loughrea,53.2023,-8.55421,97,GY042 ESB Loughrea_3_L   ,18.5,240,#N/A,
GY042,ESB Loughrea,53.2023,-8.55421,97,GY042 ESB Loughrea_3_R   ,18.5,240,#N/A,
GY041,Meteor Mount Mary (Slievemurray),53.57113261,-8.383519102,150,GY041 Meteor Mount Mary (Slievemurray)_2.5 ,24,160,Priority,
GY041,Meteor Mount Mary (Slievemurray),53.57113261,-8.383519102,150,GY041 Meteor Mount Mary (Slievemurray)_3 ,24,300,Priority,
GY044,Meteor Cappagh Clonkeen,53.64886,-8.766507,144,GY044 Meteor Cappagh Clonkeen 1 ,21,110,Priority,
GY044,Meteor Cappagh Clonkeen,53.64886,-8.766507,144,GY044 Meteor Cappagh Clonkeen 2 ,21,220,Priority,
GY044,Meteor Cappagh Clonkeen,53.64886,-8.766507,144,GY044 Meteor Cappagh Clonkeen 3 ,21,350,Priority,
GY046,Cignal Buffy Hill,53.378062,-9.298296,252,GY046 Cignal Buffy Hill_1_L  ,19.28,65,Priority,
GY046,Cignal Buffy Hill,53.378062,-9.298296,252,GY046 Cignal Buffy Hill_1_R  ,19.28,65,Priority,
GY046,Cignal Buffy Hill,53.378062,-9.298296,252,GY046 Cignal Buffy Hill_2_L  ,16.5,320,Priority,
KE030,3IRL Castledermot Barnhill,52.903308,-6.843446,93,KE030 3IRL Castledermot Barnhill_1  ,19.5,18,#N/A,nothing assigned
KE030,3IRL Castledermot Barnhill,52.903308,-6.843446,93,KE030 3IRL Castledermot Barnhill_2  ,19.5,240,#N/A,
KE038,Vodafone Rathsillagh,53.05907606,-6.872249091,112,KE038 Vodafone Rathsillagh_1_L   ,18.5,3,#N/A,
KE038,Vodafone Rathsillagh,53.05907606,-6.872249091,112,KE038 Vodafone Rathsillagh_1_R   ,18.5,3,#N/A,
KE038,Vodafone Rathsillagh,53.05907606,-6.872249091,112,KE038 Vodafone Rathsillagh_2_L   ,18.5,120,#N/A,
KE038,Vodafone Rathsillagh,53.05907606,-6.872249091,112,KE038 Vodafone Rathsillagh_2_R   ,18.5,120,#N/A,
KE038,Vodafone Rathsillagh,53.05907606,-6.872249091,112,KE038 Vodafone Rathsillagh_3_L   ,18.5,220,#N/A,
KE038,Vodafone Rathsillagh,53.05907606,-6.872249091,112,KE038 Vodafone Rathsillagh_3_R   ,18.5,220,#N/A,
KK034,ESB Glencoum,52.558147,-7.023589,363,KK034 ESB Glencoum_1   ,20,0,#N/A,
KK034,ESB Glencoum,52.558147,-7.023589,363,KK034 ESB Glencoum_2   ,20,0,#N/A,
KK034,ESB Glencoum,52.558147,-7.023589,363,KK034 ESB Glencoum_3   ,20,180,#N/A,
KK034,ESB Glencoum,52.558147,-7.023589,363,KK034 ESB Glencoum_4   ,20,180,#N/A,
GY046,Cignal Buffy Hill,53.378062,-9.298296,252,GY046 Cignal Buffy Hill_2_R  ,16.5,320,Priority,
GY049,3IRL Castlegar,53.400997,-8.289064,86,GY049 3IRL Castlegar_1   ,25,0,Priority,
GY049,3IRL Castlegar,53.400997,-8.289064,86,GY049 3IRL Castlegar_2   ,25,0,Priority,
GY049,3IRL Castlegar,53.400997,-8.289064,86,GY049 3IRL Castlegar_3   ,25,120,Priority,
GY049,3IRL Castlegar,53.400997,-8.289064,86,GY049 3IRL Castlegar_4   ,25,120,Priority,
GY049,3IRL Castlegar,53.400997,-8.289064,86,GY049 3IRL Castlegar_5   ,25,240,Priority,
GY049,3IRL Castlegar,53.400997,-8.289064,86,GY049 3IRL Castlegar_6   ,25,240,Priority,
GY050,PVT Ballynakill,53.09872788,-8.469024524,165,GY050 PVT Ballynakill_1_L   ,25,40,Priority,
GY050,PVT Ballynakill,53.09872788,-8.469024524,165,GY050 PVT Ballynakill_1_R   ,25,40,Priority,
GY050,PVT Ballynakill,53.09872788,-8.469024524,165,GY050 PVT Ballynakill_2_L   ,25,170,Priority,
GY050,PVT Ballynakill,53.09872788,-8.469024524,165,GY050 PVT Ballynakill_2_R   ,25,170,Priority,
GY050,PVT Ballynakill,53.09872788,-8.469024524,165,GY050 PVT Ballynakill_3_L   ,25,285,Priority,
GY050,PVT Ballynakill,53.09872788,-8.469024524,165,GY050 PVT Ballynakill_3_R   ,25,285,Priority,
GY062,Cignal Tomree,53.496175,-8.551552,86,GY062 Cignal Tomree_1   ,24.75,120,Priority,
GY062,Cignal Tomree,53.496175,-8.551552,86,GY062 Cignal Tomree_2   ,24.75,270,Priority,
GY069,3IRL Levally Clonbern,53.538534,-8.722499,93,GY069 3IRL Levally Clonbern_1  ,24.1,60,Priority,
GY069,3IRL Levally Clonbern,53.538534,-8.722499,93,GY069 3IRL Levally Clonbern_2  ,24.1,240,Priority,
GY084,Cignal Seanafeastin,53.2986,-9.4773,151,GY084 Cignal Seanafeastin_1   ,27,335,Priority,
GY084,Cignal Seanafeastin,53.2986,-9.4773,151,GY084 Cignal Seanafeastin_2   ,27,100,Priority,
GY084,Cignal Seanafeastin,53.2986,-9.4773,151,GY084 Cignal Seanafeastin_3   ,27,225,Priority,
KE006,PVT Minch Norton Silo,52.98976,-6.99168,59,KE006 PVT Minch Norton Silo_1 ,41,70,Priority,
KE006,PVT Minch Norton Silo,52.98976,-6.99168,59,KE006 PVT Minch Norton Silo_2 ,41,160,Priority,
KE006,PVT Minch Norton Silo,52.98976,-6.99168,59,KE006 PVT Minch Norton Silo_3 ,41,310,Priority,
KE008,ESB Kilteel,53.246111,-6.539177,144,KE008 ESB Kilteel_1   ,42,320,Priority,
KE008,ESB Kilteel,53.246111,-6.539177,144,KE008 ESB Kilteel_2   ,42,120,Priority,
KE008,ESB Kilteel,53.246111,-6.539177,144,KE008 ESB Kilteel_3   ,42,250,Priority,
KE010,ESB Sallins,53.25982,-6.667848,80,KE010 ESB Sallins_1_L   ,18,0,Priority,
KE010,ESB Sallins,53.25982,-6.667848,80,KE010 ESB Sallins_1_R   ,18,0,Priority,
KE010,ESB Sallins,53.25982,-6.667848,80,KE010 ESB Sallins_2_L   ,18,120,Priority,
KE010,ESB Sallins,53.25982,-6.667848,80,KE010 ESB Sallins_2_R   ,18,120,Priority,
KE010,ESB Sallins,53.25982,-6.667848,80,KE010 ESB Sallins_3_L   ,18,240,Priority,
KE010,ESB Sallins,53.25982,-6.667848,80,KE010 ESB Sallins_3_R   ,18,240,Priority,
KE013,Towercom Dunmurray Hill,53.198624,-6.933554,223,KE013 Towercom Dunmurray Hill_1  ,33.5,40,Priority,
KE013,Towercom Dunmurray Hill,53.198624,-6.933554,223,KE013 Towercom Dunmurray Hill_2  ,37,225,Priority,
KE013,Towercom Dunmurray Hill,53.198624,-6.933554,223,KE013 Towercom Dunmurray Hill_3  ,37,320,Priority,
KK034,ESB Glencoum,52.558147,-7.023589,363,KK034 ESB Glencoum_5   ,20,270,#N/A,
KK034,ESB Glencoum,52.558147,-7.023589,363,KK034 ESB Glencoum_6   ,20,270,#N/A,
LD014,Cignal Farnagh Hill,53.71316,-7.78944,103,LD014 Cignal Farnagh Hill_1_L  ,24,20,#N/A,
LD014,Cignal Farnagh Hill,53.71316,-7.78944,103,LD014 Cignal Farnagh Hill_1_R  ,24,20,#N/A,
LD014,Cignal Farnagh Hill,53.71316,-7.78944,103,LD014 Cignal Farnagh Hill_2_L  ,24,140,#N/A,
LD014,Cignal Farnagh Hill,53.71316,-7.78944,103,LD014 Cignal Farnagh Hill_2_R  ,24,140,#N/A,
KE014,ESB Moneycooley,53.364561,-6.579381,72,KE014 ESB Moneycooley_1   ,32.5,150,Priority,
KE014,ESB Moneycooley,53.364561,-6.579381,72,KE014 ESB Moneycooley_2   ,33,290,Priority,
KE014,ESB Moneycooley,53.364561,-6.579381,72,KE014 ESB Moneycooley_3   ,33,350,Priority,
KE022,Towercom Cappagh,53.40511697,-6.745834838,146,KE022 Towercom Cappagh 1  ,61.6,30,Priority,
KE022,Towercom Cappagh,53.40511697,-6.745834838,146,KE022 Towercom Cappagh 2  ,47,120,Priority,
KE022,Towercom Cappagh,53.40511697,-6.745834838,146,KE022 Towercom Cappagh 3  ,42,290,Priority,
KE035,Vodafone Old Kilcullen,53.104265,-6.77035,172,KE035 Vodafone Old Kilcullen 1 ,23.5,50,Priority,
KE035,Vodafone Old Kilcullen,53.104265,-6.77035,172,KE035 Vodafone Old Kilcullen 2 ,23.5,175,Priority,
KE035,Vodafone Old Kilcullen,53.104265,-6.77035,172,KE035 Vodafone Old Kilcullen 3 ,23.5,275,Priority,
KE041,ESB Carbury Hill,53.3558,-6.97079,119,KE041 ESB Carbury Hill_1  ,25,60,Priority,
KE041,ESB Carbury Hill,53.3558,-6.97079,119,KE041 ESB Carbury Hill_2  ,25,60,Priority,
KE041,ESB Carbury Hill,53.3558,-6.97079,119,KE041 ESB Carbury Hill_3  ,25,170,Priority,
KE041,ESB Carbury Hill,53.3558,-6.97079,119,KE041 ESB Carbury Hill_4  ,25,170,Priority,
KE041,ESB Carbury Hill,53.3558,-6.97079,119,KE041 ESB Carbury Hill_5  ,25,280,Priority,
KE041,ESB Carbury Hill,53.3558,-6.97079,119,KE041 ESB Carbury Hill_6  ,25,280,Priority,
KK001,PVT Mount Nugent,52.71707,-7.143506,308,KK001 PVT Mount Nugent 1 ,55,0,Priority,
KK001,PVT Mount Nugent,52.71707,-7.143506,308,KK001 PVT Mount Nugent 2 ,55,130,Priority,
KK001,PVT Mount Nugent,52.71707,-7.143506,308,KK001 PVT Mount Nugent 3 ,55,220,Priority,
KK021,Vodafone Pilltown,52.43893805,-7.322897189,283,KK021 Vodafone Pilltown_1_L   ,32,135,Priority,
LD014,Cignal Farnagh Hill,53.71316,-7.78944,103,LD014 Cignal Farnagh Hill_3_L  ,24,260,#N/A,
LD014,Cignal Farnagh Hill,53.71316,-7.78944,103,LD014 Cignal Farnagh Hill_3_R  ,24,260,#N/A,
LD016,Cignal Carrickmaguirk,53.88603,-7.635846,162,LD016 Cignal Carrickmaguirk_1_L   ,25,0,#N/A,
LD016,Cignal Carrickmaguirk,53.88603,-7.635846,162,LD016 Cignal Carrickmaguirk_1_R   ,25,0,#N/A,
LD016,Cignal Carrickmaguirk,53.88603,-7.635846,162,LD016 Cignal Carrickmaguirk_2_L   ,25,120,#N/A,
LD016,Cignal Carrickmaguirk,53.88603,-7.635846,162,LD016 Cignal Carrickmaguirk_2_R   ,25,120,#N/A,
KK021,Vodafone Pilltown,52.43893805,-7.322897189,283,KK021 Vodafone Pilltown_1_R   ,32,135,Priority,
KK021,Vodafone Pilltown,52.43893805,-7.322897189,283,KK021 Vodafone Pilltown_2_L   ,32,355,Priority,
KK021,Vodafone Pilltown,52.43893805,-7.322897189,283,KK021 Vodafone Pilltown_2_R   ,32,355,Priority,
LD016,Cignal Carrickmaguirk,53.88603,-7.635846,162,LD016 Cignal Carrickmaguirk_3_L   ,25,240,#N/A,
LD016,Cignal Carrickmaguirk,53.88603,-7.635846,162,LD016 Cignal Carrickmaguirk_3_R   ,25,240,#N/A,
KK024,Towercom Ballyspellan,52.760097,-7.508393,309,KK024 Towercom Ballyspellan_1   ,36.5,85,Priority,
KK024,Towercom Ballyspellan,52.760097,-7.508393,309,KK024 Towercom Ballyspellan_2   ,36.5,290,Priority,
KK025,RTE Suir Valley,52.37391284,-7.265894239,280,KK025 RTE Suir Valley_1  ,33,15,Priority,
KK025,RTE Suir Valley,52.37391284,-7.265894239,280,KK025 RTE Suir Valley_2  ,33,250,Priority,
KK026,Cignal Gauraunban,52.29109354,-7.02298241,120,KK026 Cignal Gauraunban_1   ,21,105,Priority,
KK026,Cignal Gauraunban,52.29109354,-7.02298241,120,KK026 Cignal Gauraunban_2   ,21,315,Priority,
KY004,RTE Mish Mountain Knockmoyle,52.21222308,-9.711585984,372,KY004 RTE Mish Mountain Knockmoyle_1 ,34,0,Priority,
KY004,RTE Mish Mountain Knockmoyle,52.21222308,-9.711585984,372,KY004 RTE Mish Mountain Knockmoyle_2 ,34,90,Priority,
KY004,RTE Mish Mountain Knockmoyle,52.21222308,-9.711585984,372,KY004 RTE Mish Mountain Knockmoyle_3 ,34,190,Priority,
KY008,Towercom Listowel,52.458381,-9.513639,19,KY008 Towercom Listowel_1   ,38,120,Priority,
KY008,Towercom Listowel,52.458381,-9.513639,19,KY008 Towercom Listowel_2   ,38,240,Priority,
KY008,Towercom Listowel,52.458381,-9.513639,19,KY008 Towercom Listowel_3   ,38,340,Priority,
KY018,Towercom Knockanore,52.52362747,-9.605204507,258,KY018 Towercom Knockanore_1   ,29,0,Priority,
KY018,Towercom Knockanore,52.52362747,-9.605204507,258,KY018 Towercom Knockanore_2   ,29,75,Priority,
KY018,Towercom Knockanore,52.52362747,-9.605204507,258,KY018 Towercom Knockanore_3   ,29,275,Priority,
KY024,Towercom Knocknaboul,52.193854,-9.277893,337,KY024 Towercom Knocknaboul_1   ,31.2,100,Priority,
KY024,Towercom Knocknaboul,52.193854,-9.277893,337,KY024 Towercom Knocknaboul_2   ,31.2,100,Priority,
KY024,Towercom Knocknaboul,52.193854,-9.277893,337,KY024 Towercom Knocknaboul_3   ,31.6,235,Priority,
KY024,Towercom Knocknaboul,52.193854,-9.277893,337,KY024 Towercom Knocknaboul_4   ,31.6,235,Priority,
KY053,3IRL Lisroe,52.412174,-9.414685,188,KY053 3IRL Lisroe_1   ,14,355,Priority,
KY053,3IRL Lisroe,52.412174,-9.414685,188,KY053 3IRL Lisroe_2   ,14,355,Priority,
KY053,3IRL Lisroe,52.412174,-9.414685,188,KY053 3IRL Lisroe_3   ,14,120,Priority,
KY053,3IRL Lisroe,52.412174,-9.414685,188,KY053 3IRL Lisroe_4   ,14,120,Priority,
KY054,ESB Tullig,52.075653,-9.465648,176,KY054 ESB Tullig_1   ,19.1,0,Priority,
KY054,ESB Tullig,52.075653,-9.465648,176,KY054 ESB Tullig_2   ,19.1,0,Priority,
KY054,ESB Tullig,52.075653,-9.465648,176,KY054 ESB Tullig_3   ,19.1,120,Priority,
KY054,ESB Tullig,52.075653,-9.465648,176,KY054 ESB Tullig_4   ,19.1,120,Priority,
KY054,ESB Tullig,52.075653,-9.465648,176,KY054 ESB Tullig_5   ,19.1,240,Priority,
KY054,ESB Tullig,52.075653,-9.465648,176,KY054 ESB Tullig_6   ,19.1,240,Priority,
LD001,RTE Cairn Hill,53.8072054,-7.715448198,271,LD001 RTE Cairn Hill 1 ,40,310,Priority,
LD001,RTE Cairn Hill,53.8072054,-7.715448198,271,LD001 RTE Cairn Hill 2 ,40,130,Priority,
LD001,RTE Cairn Hill,53.8072054,-7.715448198,271,LD001 RTE Cairn Hill 3 ,40,230,Priority,
LD002,ESB Ardagh,53.65902725,-7.727473676,195,LD002 ESB Ardagh 1  ,26,70,Priority,
LD002,ESB Ardagh,53.65902725,-7.727473676,195,LD002 ESB Ardagh 2  ,27.5,160,Priority,
LD002,ESB Ardagh,53.65902725,-7.727473676,195,LD002 ESB Ardagh 3  ,26,240,Priority,
LD008,Vodafone Ballymahon,53.543801,-7.697522,95,LD008 Vodafone Ballymahon_1_L   ,23.5,20,Priority,
LD008,Vodafone Ballymahon,53.543801,-7.697522,95,LD008 Vodafone Ballymahon_1_R   ,23.5,20,Priority,
LD008,Vodafone Ballymahon,53.543801,-7.697522,95,LD008 Vodafone Ballymahon_2_L   ,23.5,120,Priority,
LD008,Vodafone Ballymahon,53.543801,-7.697522,95,LD008 Vodafone Ballymahon_2_R   ,23.5,120,Priority,
LD008,Vodafone Ballymahon,53.543801,-7.697522,95,LD008 Vodafone Ballymahon_3_L   ,23.5,245,Priority,
LD008,Vodafone Ballymahon,53.543801,-7.697522,95,LD008 Vodafone Ballymahon_3_R   ,23.5,245,Priority,
LH002,ESB Donore Drogheda,53.70217,-6.37471,49,LH002 ESB Donore Drogheda_1  ,25,125,Priority,
LH002,ESB Donore Drogheda,53.70217,-6.37471,49,LH002 ESB Donore Drogheda_2  ,25,310,Priority,
LH003,ESB Mullagharlin,53.976287,-6.408738,19,LH003 ESB Mullagharlin 1  ,32.5,15,Priority,
LH003,ESB Mullagharlin,53.976287,-6.408738,19,LH003 ESB Mullagharlin 2  ,32.5,180,Priority,
LH003,ESB Mullagharlin,53.976287,-6.408738,19,LH003 ESB Mullagharlin 3  ,32.5,260,Priority,
LH004,Cignal Mount Oriel,53.790962,-6.510159,238,LH004 Cignal Mount Oriel 1 ,37,20,Priority,
LK011,Vodafone Askeaton,52.563143,-8.979507,33,LK011 Vodafone Askeaton_1   ,22.5,6,#N/A,
LK011,Vodafone Askeaton,52.563143,-8.979507,33,LK011 Vodafone Askeaton_2   ,22.5,6,#N/A,
LK011,Vodafone Askeaton,52.563143,-8.979507,33,LK011 Vodafone Askeaton_3   ,22.5,142,#N/A,
LK011,Vodafone Askeaton,52.563143,-8.979507,33,LK011 Vodafone Askeaton_4   ,22.5,142,#N/A,
LK020,Vodafone Boher,52.600878,-8.44239,100,LK020 Vodafone Boher_1   ,25.6,40,#N/A,
LK020,Vodafone Boher,52.600878,-8.44239,100,LK020 Vodafone Boher_2   ,25.6,40,#N/A,
LH004,Cignal Mount Oriel,53.790962,-6.510159,238,LH004 Cignal Mount Oriel 2 ,37,140,Priority,
LH004,Cignal Mount Oriel,53.790962,-6.510159,238,LH004 Cignal Mount Oriel 3 ,36,260,Priority,
LK012,RTE Abbeyfeale,52.37205149,-9.296096072,191,LK012 RTE Abbeyfeale_1   ,11.5,20,Priority,
LK012,RTE Abbeyfeale,52.37205149,-9.296096072,191,LK012 RTE Abbeyfeale_2   ,11.5,225,Priority,
LK013,Towercom Slievereagh,52.37825291,-8.403732787,447,LK013 Towercom Slievereagh_1   ,27.75,60,Priority,
LK013,Towercom Slievereagh,52.37825291,-8.403732787,447,LK013 Towercom Slievereagh_2   ,27,150,Priority,
LK013,Towercom Slievereagh,52.37825291,-8.403732787,447,LK013 Towercom Slievereagh_3   ,27.75,350,Priority,
LK014,ESB Ballingarry MW,52.4728,-8.82622,254,LK014 ESB Ballingarry MW_1  ,26,50,Priority,
LK014,ESB Ballingarry MW,52.4728,-8.82622,254,LK014 ESB Ballingarry MW_2  ,26,170,Priority,
LK014,ESB Ballingarry MW,52.4728,-8.82622,254,LK014 ESB Ballingarry MW_3  ,26,320,Priority,
