Site,Name,Latitude,Longitude,Altitude (m),Transmitter,Height (m),Azimuth (°),Priority,
CK098,3IRL Sandyhill,52.008918,-8.009576,216,CK098 3IRL Sandyhill_6   ,20.4,260,Priority,
CK103,Cignal Ballyhooly,52.13085,-8.38285,136,CK103 Cignal Ballyhooly_1   ,21,108,Priority,
CK103,Cignal Ballyhooly,52.13085,-8.38285,136,CK103 Cignal Ballyhooly_2   ,21,335,Priority,
CK107,Hibernian Mount Gabriel,51.558642,-9.540708,380,CK107 Hibernian Mount Gabriel_1  ,10,320,Priority,
CK120,PVT Bantry Hill,51.6660023,-9.442570582,191,CK120 PVT Bantry Hill_1  ,48,155,Priority,
CK120,PVT Bantry Hill,51.6660023,-9.442570582,191,CK120 PVT Bantry Hill_2  ,48,311,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_1   ,27,0,Priority,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_3   ,20.1,200,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_4   ,20.1,200,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_5   ,20.1,293,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_6   ,20.1,293,#N/A,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_2   ,27,0,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_3   ,27,120,Priority,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_1   ,27,0,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_2   ,27,0,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_3   ,29.5,120,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_4   ,29.5,120,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_5   ,29.5,240,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_6   ,29.5,240,#N/A,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_4   ,27,120,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_5   ,27,240,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_6   ,27,240,Priority,
CK126,ESB Carrigaline,51.817297,-8.392872,16,CK126 ESB Carrigaline_1   ,34,80,Priority,
CK126,ESB Carrigaline,51.817297,-8.392872,16,CK126 ESB Carrigaline_2   ,20.5,250,Priority,
CK128,ESB Bandon Hill,51.7559,-8.73698,82,CK128 ESB Bandon Hill_1  ,21.1,355,Priority,
CK128,ESB Bandon Hill,51.7559,-8.73698,82,CK128 ESB Bandon Hill_2  ,21.1,170,Priority,
CK105,Cignal Dooneens,51.971649,-8.893116,339,CK105 Cignal Dooneens_1   ,30,75,#N/A,
CK105,Cignal Dooneens,51.971649,-8.893116,339,CK105 Cignal Dooneens_2   ,30,255,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_1   ,24,0,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_2   ,24,0,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_3   ,24,120,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_4   ,24,120,#N/A,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_1  ,21.1,60,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_2  ,21.1,60,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_3  ,21.1,190,Priority,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_5   ,24,240,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_6   ,24,240,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_1   ,20.5,0,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_2   ,20.5,0,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_3   ,20.5,120,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_4   ,20.5,120,#N/A,
